_time,sender,subject,attachments,recipients,recipients_email_domain,time_month,leaver,termination,account_type,wordlist_attachment,wordlist_subject,bunit,department,status,user_response,final_outcome,policy_name,justifications
2025-01-03T08:30:02,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:13,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:29,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:35,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:22,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:03,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:14,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:30,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:36,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:23,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:04,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:15,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:31,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:37,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:24,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:05,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:16,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:32,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:38,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:25,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:06,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:17,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:33,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:39,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:26,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:07,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:18,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:34,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:40,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:27,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:08,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:19,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:35,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:41,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:28,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:09,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:20,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:36,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:42,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:29,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:10,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:21,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:37,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:43,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:30,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:11,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:22,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:38,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:44,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:31,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:12,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:23,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:39,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:45,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:32,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:13,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:24,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:40,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:46,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:33,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:14,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:25,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:41,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:47,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:34,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:15,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:26,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:42,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:48,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:35,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:16,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:27,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:43,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:49,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:36,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:17,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:28,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:44,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:50,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:37,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:18,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:29,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:45,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:51,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:38,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:19,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:30,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:46,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:52,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:39,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:20,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:31,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:47,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:53,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:40,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:21,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:32,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:48,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
2025-01-03T11:55:54,emily.davis@company.com,Security Breach,none,all@company.com,company.com,January,NO,-,Employee,none,breach,Security,IT Security,Delivered,Reported,Malicious,Security Policy,Critical alert
2025-01-02T17:25:41,sophia.green@company.com,Quarterly Review,review.pptx,mike.jones@company.com,company.com,January,NO,-,Employee,review,quarterly,HR,Performance,Delivered,Clicked,Benign,HR Policy,Performance review
2025-01-03T08:30:22,john.doe@company.com,Budget Proposal,budget.xlsx,finance@company.com,company.com,January,NO,-,Manager,budget,proposal,Finance,Accounting,Delivered,Clicked,Benign,Financial Policy,Budget planning
2025-01-03T09:45:33,alice.brown@company.com,Team Survey,survey.pdf,team@company.com,company.com,January,NO,-,Employee,survey,team,HR,Engagement,Delivered,None,Benign,HR Policy,Employee feedback
2025-01-03T10:50:49,bob.wilson@company.com,Client Update,update.pdf,client@external.com,external.com,January,NO,-,Contractor,update,client,Sales,Client Relations,Delivered,Clicked,Benign,Business Policy,Client communication
